name,slug,first_case_date,image,source,identity_evidence
John Mitigli,john-mitigli,1930-01-01,john-mitigli-chrono2026b.png,https://www.marxists.org/history/usa/pubs/labordefender/1930/v05n05-may-1930-LD.pdf,"Original printed caption explicitly identifies each row left to right. Oakland group: front row, first from left, John Mitigli, sentenced to 30 days. The text specifically describes the USL Battery Company and Oakland City Hall protest matching the entry."
Julia Wilde,julia-wilde,1930-01-01,julia-wilde-chrono2026b.png,https://www.marxists.org/history/usa/pubs/dailyworker/1930/v06-n334-NY-apr-02-1930-DW-LOC.pdf,"Printed caption names both rows: top Mike Mughiti, Julia Wilde, Sam Berman, Arvid Owens; bottom Sonia Baltrun, Anna Robbins, Bessie Herman. This crop is second in top row. Name variants Berman/Barman and Baltrun/Baltruin match the same Oakland City Hall defendant group. Source dates the demonstration December 27; the database groups the case under 1930."
Louis Murray,louis-murray,1930-01-01,louis-murray-chrono2026b.png,https://www.marxists.org/history/usa/pubs/labordefender/1930/v05n05-may-1930-LD.pdf,"Original printed caption explicitly identifies each row left to right. Buffalo group: front row, fourth from left, Louis Murray, sentenced to 100 days."
Sam Barman,sam-barman,1930-01-01,sam-barman-chrono2026b.png,https://www.marxists.org/history/usa/pubs/dailyworker/1930/v06-n334-NY-apr-02-1930-DW-LOC.pdf,"Printed caption names both rows: top Mike Mughiti, Julia Wilde, Sam Berman, Arvid Owens; bottom Sonia Baltrun, Anna Robbins, Bessie Herman. This crop is third in top row. Name variants Berman/Barman and Baltrun/Baltruin match the same Oakland City Hall defendant group. Source dates the demonstration December 27; the database groups the case under 1930."
Sonia Baltruin,sonia-baltruin,1930-01-01,sonia-baltruin-chrono2026b.png,https://www.marxists.org/history/usa/pubs/dailyworker/1930/v06-n334-NY-apr-02-1930-DW-LOC.pdf,"Printed caption names both rows: top Mike Mughiti, Julia Wilde, Sam Berman, Arvid Owens; bottom Sonia Baltrun, Anna Robbins, Bessie Herman. This crop is first in bottom row. Name variants Berman/Barman and Baltrun/Baltruin match the same Oakland City Hall defendant group. Source dates the demonstration December 27; the database groups the case under 1930."
Stephen Graham,stephen-graham,1930-01-01,stephen-graham-chrono2026b.png,https://www.marxists.org/history/usa/pubs/labordefender/1930/v05n01-jan-1930-LD.pdf,"Individual portrait is labeled Stephen Graham. The article identifies the Norfolk labor organizer arrested for organizing Black and white workers, matching the entry."
Einosuke Yamaguchi,einosuke-yamaguchi,1930-01-03,einosuke-yamaguchi-chrono2026b.jpg,https://jimbotimes.com/2023/12/13/btw-l-a-did-you-know-lincoln-heights-jail/,"The original handwritten caption identifies E. Yamaguchi leaving Lincoln Heights Jail in 1932. The accompanying article identifies his ILD-supported departure to the Soviet Union, matching this prisoner. Full historical scene and original caption retained because individual face positions are not separately captioned."
George Pirinsky,george-pirinsky,1930-01-28,george-pirinsky-chrono2026b.png,https://protestantstvo.com/wp-content/uploads/2017/02/SALVATION-ABROAD-MACEDONIAN.pdf#page=200,"Figure 14 explicitly names George Pirinsky and dates the original brochure to 1948. The adjoining discussion identifies the Macedonian immigrant organizer and American Slav Congress leader, matching the entry; this is not his son Georgi Pirinski."
Albert Hedar,albert-hedar,1930-02-04,albert-hedar-chrono2026b.png,https://www.marxists.org/history/usa/pubs/labordefender/1930/v05n05-may-1930-LD.pdf,"Original printed caption explicitly identifies each row left to right. Newark group: second row, fourth from left, Albert Heder, facing sedition charges. The entry spells his surname Hedar; the group and prosecution match."
Edward Childs,edward-childs,1930-02-04,edward-childs-chrono2026b.png,https://www.marxists.org/history/usa/pubs/labordefender/1930/v05n05-may-1930-LD.pdf,"Original printed caption explicitly identifies each row left to right. Newark group: second row, second from left, Edward Childs, facing sedition charges for unemployment demonstrations."
John Pado,john-pado,1930-02-04,john-pado-chrono2026b.png,https://www.marxists.org/history/usa/pubs/labordefender/1930/v05n05-may-1930-LD.pdf,"Original printed caption explicitly identifies each row left to right. Newark group: front row, second from left, John Pado, facing sedition charges for unemployment demonstrations."
Henry Storey,henry-storey,1930-03-01,henry-storey-chrono2026b.png,https://revolutionsnewsstand.com/2025/04/05/76326/,The printed portrait label names Henry Story. The reproduced contemporary biographies identify the Atlanta insurrection defendant and match the entry. Henry Story is spelled Storey in the accompanying biography.
Herbert Newton,herbert-newton,1930-03-01,herbert-newton-chrono2026b.png,https://revolutionsnewsstand.com/2025/04/05/76326/,The printed portrait label names Herbert Newton. The reproduced contemporary biographies identify the Atlanta insurrection defendant and match the entry. Henry Story is spelled Storey in the accompanying biography.
Harry Raymond,harry-raymond,1930-03-06,harry-raymond-chrono2026b.png,https://www.marxists.org/history/usa/pubs/labordefender/1930/v05n04-apr-1930-LD.pdf,"Caption explicitly labels Joseph Leston (left) and Harry Raymond (right), seamen and members of the arrested New York unemployment delegation; this is the right portrait."
Joseph Leston,joseph-leston,1930-03-06,joseph-leston-chrono2026b.png,https://www.marxists.org/history/usa/pubs/labordefender/1930/v05n04-apr-1930-LD.pdf,"Caption explicitly labels Joseph Leston (left) and Harry Raymond (right), seamen and members of the arrested New York unemployment delegation; this is the left portrait."
